Topic_1;Topic_2;Topic_3;Topic_4;Topic_5;Topic_6;Topic_7
police;school;trump;company;food;music;people
people;people;president;new;people;song;like
country;health;clinton;like;study;like;woman
government;percent;campaign;time;patient;new;time
city;state;state;world;disease;album;life
attack;student;election;way;drug;film;man
state;care;obama;people;health;time;thing
officer;program;republican;big;like;artist;way
official;law;house;thing;doctor;band;family
case;job;voter;science;new;movie;black
group;million;party;space;time;good;story
npr;money;candidate;technology;water;record;day
war;child;new;lot;animal;way;book
military;high;donald;day;brain;npr;world
law;new;white;human;researcher;thing;young
